dates,open_shrublands_mean,open_shrublands_sd
2016-07-27,0.0279,0.007071
2016-08-04,0.0108,NA
2016-08-12,0.0227,0.001838
2016-08-20,0.02,0.000707
2016-08-28,0.0086,0.001838
2016-09-05,0.0058,0.000849
2016-09-13,0.00235,0.000495
2016-09-21,0.0036,0.000283
2016-09-29,0.00135,0.001202
2016-10-07,NA,NA
2016-10-15,NA,NA
2016-10-23,NA,NA
2016-10-31,NA,NA
2016-11-08,NA,NA
2016-11-16,NA,NA
2016-11-24,NA,NA
2016-12-02,NA,NA
2016-12-10,NA,NA
2016-12-18,NA,NA
2016-12-26,NA,NA
2017-01-01,NA,NA
2017-01-09,NA,NA
2017-01-17,NA,NA
2017-01-25,NA,NA
2017-02-02,NA,NA
2017-02-10,NA,NA
2017-02-18,NA,NA
2017-02-26,NA,NA
2017-03-06,NA,NA
2017-03-14,NA,NA
2017-03-22,NA,NA
2017-03-30,NA,NA
2017-04-07,NA,NA
2017-04-15,NA,NA
2017-04-23,NA,NA
2017-05-01,0.001,NA
2017-05-09,0.0014,0
2017-05-17,0.0094,0.000566
2017-05-25,0.00625,0.000778
2017-06-02,0.01785,0.002333
2017-06-10,0.0194,0.002546
2017-06-18,0.02765,0.001061
2017-06-26,0.03585,0.002616
2017-07-04,0.042,0.003111
2017-07-12,0.0365,0.001697
2017-07-20,0.01285,0.000919
2017-07-28,0.0349,0.000566
2017-08-05,0.03525,0.008132
2017-08-13,0.02775,0.000495
2017-08-21,0.0156,0.000141
2017-08-29,0.01155,0.000212
2017-09-06,0.0046,0.000283
2017-09-14,0.00525,0.001061
2017-09-22,8e-04,0
2017-09-30,7e-04,0.000424
2017-10-08,NA,NA
2017-10-16,NA,NA
2017-10-24,NA,NA
2017-11-01,NA,NA
2017-11-09,NA,NA
2017-11-17,NA,NA
2017-11-25,NA,NA
2017-12-03,NA,NA
2017-12-11,NA,NA
2017-12-19,NA,NA
2017-12-27,NA,NA
2018-01-01,NA,NA
2018-01-09,NA,NA
2018-01-17,NA,NA
2018-01-25,NA,NA
2018-02-02,NA,NA
2018-02-10,NA,NA
2018-02-18,NA,NA
2018-02-26,NA,NA
2018-03-06,NA,NA
2018-03-14,NA,NA
2018-03-22,NA,NA
2018-03-30,NA,NA
2018-04-07,NA,NA
2018-04-15,NA,NA
2018-04-23,NA,NA
2018-05-01,0.001,NA
2018-05-09,0.0064,0.000707
2018-05-17,0.00595,0.000919
2018-05-25,0.007,0.003394
2018-06-02,0.0164,0.002404
2018-06-10,0.02375,0.003041
2018-06-18,0.03855,0.001626
2018-06-26,0.0415,NA
2018-07-04,0.0388,0.00099
2018-07-12,0.03635,0.001485
2018-07-20,0.04665,0.002616
2018-07-28,0.04005,0.000778
2018-08-05,0.01955,0.001626
2018-08-13,0.0185,NA
2018-08-21,0.008,0
2018-08-29,0.0056,0.000424
2018-09-06,0.00505,7.1e-05
2018-09-14,0.005,0.00099
2018-09-22,0.00235,0.001909
2018-09-30,2e-04,0
2018-10-08,NA,NA
2018-10-16,NA,NA
2018-10-24,NA,NA
2018-11-01,NA,NA
2018-11-09,NA,NA
2018-11-17,NA,NA
2018-11-25,NA,NA
2018-12-03,NA,NA
2018-12-11,NA,NA
2018-12-19,NA,NA
2018-12-27,NA,NA
2019-01-01,NA,NA
2019-01-09,NA,NA
2019-01-17,NA,NA
2019-01-25,NA,NA
2019-02-02,NA,NA
2019-02-10,NA,NA
2019-02-18,NA,NA
2019-02-26,NA,NA
2019-03-06,NA,NA
2019-03-14,NA,NA
2019-03-22,NA,NA
2019-03-30,NA,NA
2019-04-07,NA,NA
2019-04-15,NA,NA
2019-04-23,NA,NA
2019-05-01,NA,NA
2019-05-09,0.0079,0.000424
2019-05-17,0.018,0.003111
2019-05-25,0.0179,0
2019-06-02,0.0262,0.004101
2019-06-10,0.02045,0.008415
2019-06-18,0.04495,0.002475
2019-06-26,0.03575,0.000354
2019-07-04,0.04095,0.008697
2019-07-12,0.0338,0.004667
2019-07-20,0.0476,0.000566
2019-07-28,0.02345,0.003041
2019-08-05,0.024,0.001838
2019-08-13,0.01265,0.001202
2019-08-21,0.0139,0.000849
2019-08-29,0.00175,0.000354
2019-09-06,0.0119,0.001273
2019-09-14,0.00395,0.002051
2019-09-22,0.0023,0
2019-09-30,NA,NA
2019-10-08,NA,NA
2019-10-16,NA,NA
2019-10-24,NA,NA
2019-11-01,NA,NA
2019-11-09,NA,NA
2019-11-17,NA,NA
2019-11-25,NA,NA
2019-12-03,NA,NA
2019-12-11,NA,NA
2019-12-19,NA,NA
2019-12-27,NA,NA
2020-01-01,NA,NA
2020-01-09,NA,NA
2020-01-17,NA,NA
2020-01-25,NA,NA
2020-02-02,NA,NA
2020-02-10,NA,NA
2020-02-18,NA,NA
2020-02-26,NA,NA
2020-03-05,NA,NA
2020-03-13,NA,NA
2020-03-21,NA,NA
2020-03-29,NA,NA
2020-04-06,NA,NA
2020-04-14,NA,NA
2020-04-22,NA,NA
2020-04-30,NA,NA
2020-05-08,0.0022,0.00099
2020-05-16,0.00715,0.000495
2020-05-24,0.0236,0.001131
2020-06-01,0.01555,0.013081
2020-06-09,0.0298,0.004101
2020-06-17,0.01415,0.000919
2020-06-25,0.02635,0.002051
2020-07-03,0.0165,NA
2020-07-11,0.02665,0.005728
2020-07-19,0.0294,0.000707
2020-07-27,0.0293,0.001697
2020-08-04,0.029,0.000283
2020-08-12,0.01955,0.003182
2020-08-20,0.0206,0.00099
2020-08-28,0.0084,0.001414
2020-09-05,0.00825,0.001202
2020-09-13,0.007,0
2020-09-21,0.0023,0.000707
2020-09-29,0.00215,0.000778
2020-10-07,NA,NA
2020-10-15,NA,NA
2020-10-23,NA,NA
2020-10-31,NA,NA
2020-11-08,NA,NA
2020-11-16,NA,NA
2020-11-24,NA,NA
2020-12-02,NA,NA
2020-12-10,NA,NA
2020-12-18,NA,NA
2020-12-26,NA,NA
2021-01-01,NA,NA
2021-01-09,NA,NA
2021-01-17,NA,NA
2021-01-25,NA,NA
2021-02-02,NA,NA
2021-02-10,NA,NA
2021-02-18,NA,NA
2021-02-26,NA,NA
2021-03-06,NA,NA
2021-03-14,NA,NA
2021-03-22,NA,NA
2021-03-30,NA,NA
2021-04-07,NA,NA
2021-04-15,NA,NA
2021-04-23,NA,NA
2021-05-01,0.002,NA
2021-05-09,0.0048,0.000283
2021-05-17,0.00975,0.001061
2021-05-25,0.00575,0.001344
2021-06-02,0.014,0.001414
2021-06-10,0.03245,0.001061
2021-06-18,0.0456,0.005515
2021-06-26,0.05715,0.000495
2021-07-04,0.04515,0.004879
2021-07-12,0.03865,0.001344
2021-07-20,0.0423,0.003536
2021-07-28,0.0401,0.004384
2021-08-05,0.01995,0.001626
2021-08-13,0.0173,0.000424
2021-08-21,0.0085,NA
2021-08-29,0.011,0.001838
2021-09-06,0.01075,0.000212
2021-09-14,0.0042,0.000424
2021-09-22,NA,NA
2021-09-30,NA,NA
2021-10-08,NA,NA
2021-10-16,NA,NA
2021-10-24,NA,NA
2021-11-01,NA,NA
2021-11-09,NA,NA
2021-11-17,NA,NA
2021-11-25,NA,NA
2021-12-03,NA,NA
2021-12-11,NA,NA
2021-12-19,NA,NA
2021-12-27,NA,NA
