dates,open_shrublands_mean,open_shrublands_sd
2016-07-03,0.03365,0.003838
2016-07-11,0.0409,0.003097
2016-07-19,0.025425,0.00064
2016-07-27,0.0316,0.006637
2016-08-04,0.0125,0.003477
2016-08-12,0.022525,0.00264
2016-08-20,0.019675,0.001763
2016-08-28,0.0097,0.001811
2016-09-05,0.007025,0.001686
2016-09-13,0.00275,0.000656
2016-09-21,0.004,0.000548
2016-09-29,0.001133,0.000929
2016-10-07,NA,NA
2016-10-15,NA,NA
2016-10-23,NA,NA
2016-10-31,NA,NA
2016-11-08,NA,NA
2016-11-16,NA,NA
2016-11-24,NA,NA
2016-12-02,NA,NA
2016-12-10,NA,NA
2016-12-18,NA,NA
2016-12-26,NA,NA
2017-01-01,NA,NA
2017-01-09,NA,NA
2017-01-17,NA,NA
2017-01-25,NA,NA
2017-02-02,NA,NA
2017-02-10,NA,NA
2017-02-18,NA,NA
2017-02-26,NA,NA
2017-03-06,NA,NA
2017-03-14,NA,NA
2017-03-22,NA,NA
2017-03-30,NA,NA
2017-04-07,NA,NA
2017-04-15,NA,NA
2017-04-23,NA,NA
2017-05-01,0.001,NA
2017-05-09,0.00255,0.001328
2017-05-17,0.012075,0.003386
2017-05-25,0.010525,0.004957
2017-06-02,0.020875,0.006166
2017-06-10,0.020475,0.00255
2017-06-18,0.0304,0.003346
2017-06-26,0.038375,0.006241
2017-07-04,0.04125,0.007457
2017-07-12,0.0356,0.00151
2017-07-20,0.0128,0.001757
2017-07-28,0.0332,0.00199
2017-08-05,0.0344,0.004835
2017-08-13,0.027925,0.001118
2017-08-21,0.016975,0.002368
2017-08-29,0.011825,0.001429
2017-09-06,0.004775,0.000519
2017-09-14,0.006,0.001068
2017-09-22,8e-04,0
2017-09-30,0.00105,0.000473
2017-10-08,NA,NA
2017-10-16,NA,NA
2017-10-24,NA,NA
2017-11-01,NA,NA
2017-11-09,NA,NA
2017-11-17,NA,NA
2017-11-25,NA,NA
2017-12-03,NA,NA
2017-12-11,NA,NA
2017-12-19,NA,NA
2017-12-27,NA,NA
2018-01-01,NA,NA
2018-01-09,NA,NA
2018-01-17,NA,NA
2018-01-25,NA,NA
2018-02-02,NA,NA
2018-02-10,NA,NA
2018-02-18,NA,NA
2018-02-26,NA,NA
2018-03-06,NA,NA
2018-03-14,NA,NA
2018-03-22,NA,NA
2018-03-30,NA,NA
2018-04-07,NA,NA
2018-04-15,NA,NA
2018-04-23,NA,NA
2018-05-01,0.0012,0.000346
2018-05-09,0.0072,0.00101
2018-05-17,0.006825,0.001141
2018-05-25,0.008775,0.003293
2018-06-02,0.01765,0.002106
2018-06-10,0.022975,0.00197
2018-06-18,0.039175,0.002431
2018-06-26,0.0415,NA
2018-07-04,0.038875,0.002956
2018-07-12,0.037125,0.004188
2018-07-20,0.045325,0.004542
2018-07-28,0.0353,0.005629
2018-08-05,0.019625,0.001247
2018-08-13,0.013267,0.009501
2018-08-21,0.008425,0.00085
2018-08-29,0.0056,0.000346
2018-09-06,0.005425,0.000435
2018-09-14,0.005225,0.00066
2018-09-22,0.001975,0.001184
2018-09-30,0.00055,0.000404
2018-10-08,NA,NA
2018-10-16,NA,NA
2018-10-24,NA,NA
2018-11-01,NA,NA
2018-11-09,NA,NA
2018-11-17,NA,NA
2018-11-25,NA,NA
2018-12-03,NA,NA
2018-12-11,NA,NA
2018-12-19,NA,NA
2018-12-27,NA,NA
2019-01-01,NA,NA
2019-01-09,NA,NA
2019-01-17,NA,NA
2019-01-25,NA,NA
2019-02-02,NA,NA
2019-02-10,NA,NA
2019-02-18,NA,NA
2019-02-26,NA,NA
2019-03-06,NA,NA
2019-03-14,NA,NA
2019-03-22,NA,NA
2019-03-30,NA,NA
2019-04-07,NA,NA
2019-04-15,NA,NA
2019-04-23,NA,NA
2019-05-01,4e-04,0
2019-05-09,0.00855,0.00079
2019-05-17,0.018875,0.002175
2019-05-25,0.01735,0.000635
2019-06-02,0.026325,0.002414
2019-06-10,0.017325,0.006498
2019-06-18,0.044625,0.003436
2019-06-26,0.0364,0.001995
2019-07-04,0.04095,0.008697
2019-07-12,0.036,0.014051
2019-07-20,0.04335,0.004918
2019-07-28,0.026775,0.004222
2019-08-05,0.022925,0.001775
2019-08-13,0.013875,0.001706
2019-08-21,0.014675,0.001115
2019-08-29,0.001625,0.00025
2019-09-06,0.012725,0.001389
2019-09-14,0.003075,0.001576
2019-09-22,0.0024,2e-04
2019-09-30,NA,NA
2019-10-08,NA,NA
2019-10-16,NA,NA
2019-10-24,NA,NA
2019-11-01,NA,NA
2019-11-09,NA,NA
2019-11-17,NA,NA
2019-11-25,NA,NA
2019-12-03,NA,NA
2019-12-11,NA,NA
2019-12-19,NA,NA
2019-12-27,NA,NA
2020-01-01,NA,NA
2020-01-09,NA,NA
2020-01-17,NA,NA
2020-01-25,NA,NA
2020-02-02,NA,NA
2020-02-10,NA,NA
2020-02-18,NA,NA
2020-02-26,NA,NA
2020-03-05,NA,NA
2020-03-13,NA,NA
2020-03-21,NA,NA
