dates,open_shrublands_mean,open_shrublands_sd
2016-06-25,0.031325,0.00621
2016-07-03,0.038825,0.004732
2016-07-11,0.04605,0.003283
2016-07-19,0.027675,0.000585
2016-07-27,0.035125,0.007604
2016-08-04,0.014433,0.004234
2016-08-12,0.025225,0.003073
2016-08-20,0.0218,0.001961
2016-08-28,0.010625,0.001929
2016-09-05,0.0078,0.001934
2016-09-13,0.0033,0.000744
2016-09-21,0.004425,0.000789
2016-09-29,0.0014,0.001153
2016-10-07,NA,NA
2016-10-15,NA,NA
2016-10-23,NA,NA
2016-10-31,NA,NA
2016-11-08,NA,NA
2016-11-16,NA,NA
2016-11-24,NA,NA
2016-12-02,NA,NA
2016-12-10,NA,NA
2016-12-18,NA,NA
2016-12-26,NA,NA
2017-01-01,NA,NA
2017-01-09,NA,NA
2017-01-17,NA,NA
2017-01-25,NA,NA
2017-02-02,NA,NA
2017-02-10,NA,NA
2017-02-18,NA,NA
2017-02-26,NA,NA
2017-03-06,NA,NA
2017-03-14,NA,NA
2017-03-22,NA,NA
2017-03-30,NA,NA
2017-04-07,NA,NA
2017-04-15,NA,NA
2017-04-23,NA,NA
2017-05-01,0.001,NA
2017-05-09,0.0028,0.001617
2017-05-17,0.0131,0.003632
2017-05-25,0.0115,0.005327
2017-06-02,0.0224,0.006706
2017-06-10,0.0218,0.002848
2017-06-18,0.0331,0.003738
2017-06-26,0.04175,0.007089
2017-07-04,0.04645,0.008664
2017-07-12,0.040425,0.001902
2017-07-20,0.0143,0.002048
2017-07-28,0.036875,0.002196
2017-08-05,0.039475,0.005814
2017-08-13,0.0308,0.001374
2017-08-21,0.018775,0.002642
2017-08-29,0.0131,0.001564
2017-09-06,0.005525,0.000585
2017-09-14,0.00675,0.001406
2017-09-22,8e-04,0
2017-09-30,0.0013,0.00049
2017-10-08,NA,NA
2017-10-16,NA,NA
2017-10-24,NA,NA
2017-11-01,NA,NA
2017-11-09,NA,NA
2017-11-17,NA,NA
2017-11-25,NA,NA
2017-12-03,NA,NA
2017-12-11,NA,NA
2017-12-19,NA,NA
2017-12-27,NA,NA
2018-01-01,NA,NA
2018-01-09,NA,NA
2018-01-17,NA,NA
2018-01-25,NA,NA
2018-02-02,NA,NA
2018-02-10,NA,NA
2018-02-18,NA,NA
2018-02-26,NA,NA
2018-03-06,NA,NA
2018-03-14,NA,NA
2018-03-22,NA,NA
2018-03-30,NA,NA
2018-04-07,NA,NA
2018-04-15,NA,NA
2018-04-23,NA,NA
2018-05-01,0.001233,0.000404
2018-05-09,0.007825,0.001245
2018-05-17,0.007325,0.001181
2018-05-25,0.009525,0.00356
2018-06-02,0.01905,0.002265
2018-06-10,0.024925,0.002196
2018-06-18,0.043725,0.002968
2018-06-26,0.0466,NA
2018-07-04,0.043325,0.003467
2018-07-12,0.041625,0.005224
2018-07-20,0.05435,0.006366
2018-07-28,0.040575,0.007027
2018-08-05,0.0223,0.001501
2018-08-13,0.014633,0.010249
2018-08-21,0.009475,0.00095
2018-08-29,0.0064,0.000346
2018-09-06,0.0062,6e-04
2018-09-14,0.00585,0.000686
2018-09-22,0.0024,0.001386
2018-09-30,0.00065,0.00052
2018-10-08,NA,NA
2018-10-16,NA,NA
2018-10-24,NA,NA
2018-11-01,NA,NA
2018-11-09,NA,NA
2018-11-17,NA,NA
2018-11-25,NA,NA
2018-12-03,NA,NA
2018-12-11,NA,NA
2018-12-19,NA,NA
2018-12-27,NA,NA
2019-01-01,NA,NA
2019-01-09,NA,NA
2019-01-17,NA,NA
2019-01-25,NA,NA
2019-02-02,NA,NA
2019-02-10,NA,NA
2019-02-18,NA,NA
2019-02-26,NA,NA
2019-03-06,NA,NA
2019-03-14,NA,NA
2019-03-22,NA,NA
2019-03-30,NA,NA
2019-04-07,NA,NA
2019-04-15,NA,NA
2019-04-23,NA,NA
2019-05-01,4e-04,0
2019-05-09,0.009225,0.000939
2019-05-17,0.0204,0.002276
2019-05-25,0.019125,0.00055
2019-06-02,0.028175,0.002514
2019-06-10,0.019,0.007485
2019-06-18,0.0496,0.004155
2019-06-26,0.04045,0.00237
2019-07-04,0.0456,0.010041
2019-07-12,0.040175,0.016265
2019-07-20,0.0494,0.005894
2019-07-28,0.030075,0.004988
2019-08-05,0.026475,0.002287
2019-08-13,0.015925,0.002159
2019-08-21,0.016325,0.001164
2019-08-29,0.00175,3e-04
2019-09-06,0.0141,0.001606
2019-09-14,0.003525,0.001857
2019-09-22,0.00275,5e-04
2019-09-30,NA,NA
2019-10-08,NA,NA
2019-10-16,NA,NA
2019-10-24,NA,NA
2019-11-01,NA,NA
2019-11-09,NA,NA
2019-11-17,NA,NA
2019-11-25,NA,NA
2019-12-03,NA,NA
2019-12-11,NA,NA
2019-12-19,NA,NA
2019-12-27,NA,NA
2020-01-01,NA,NA
2020-01-09,NA,NA
