dates,open_shrublands_mean,open_shrublands_sd
2016-07-03,0.03515,0.004596
2016-07-11,0.0383,0.00693
2016-07-19,0.03145,0.004879
2016-07-27,0.03525,0.002333
2016-08-04,0.0089,0.001838
2016-08-12,0.0277,0.000283
2016-08-20,0.01875,0.000778
2016-08-28,0.009,0.001273
2016-09-05,0.00615,0.000354
2016-09-13,0.00255,0.000495
2016-09-21,0.00375,0.000354
2016-09-29,0.00095,0.000636
2016-10-07,NA,NA
2016-10-15,NA,NA
2016-10-23,NA,NA
2016-10-31,NA,NA
2016-11-08,NA,NA
2016-11-16,NA,NA
2016-11-24,NA,NA
2016-12-02,NA,NA
2016-12-10,NA,NA
2016-12-18,NA,NA
2016-12-26,NA,NA
2017-01-01,NA,NA
2017-01-09,NA,NA
2017-01-17,NA,NA
2017-01-25,NA,NA
2017-02-02,NA,NA
2017-02-10,NA,NA
2017-02-18,NA,NA
2017-02-26,NA,NA
2017-03-06,NA,NA
2017-03-14,NA,NA
2017-03-22,NA,NA
2017-03-30,NA,NA
2017-04-07,NA,NA
2017-04-15,NA,NA
2017-04-23,NA,NA
2017-05-01,NA,NA
2017-05-09,0.0033,0.001273
2017-05-17,0.01285,0.000354
2017-05-25,0.0148,0.002828
2017-06-02,0.0186,0.002404
2017-06-10,0.02805,0.005445
2017-06-18,0.03205,0.006293
2017-06-26,0.04195,0.001344
2017-07-04,0.0431,0.002546
2017-07-12,0.0344,0.004101
2017-07-20,0.029,0.001273
2017-07-28,0.03675,0.003182
2017-08-05,0.036,0.000849
2017-08-13,0.0248,0
2017-08-21,0.01635,0.000212
2017-08-29,0.01065,0.000354
2017-09-06,0.0064,0.001414
2017-09-14,0.0039,0.00099
2017-09-22,8e-04,0
2017-09-30,0.001,0
2017-10-08,NA,NA
2017-10-16,NA,NA
2017-10-24,NA,NA
2017-11-01,NA,NA
2017-11-09,NA,NA
2017-11-17,NA,NA
2017-11-25,NA,NA
2017-12-03,NA,NA
2017-12-11,NA,NA
2017-12-19,NA,NA
2017-12-27,NA,NA
2018-01-01,NA,NA
2018-01-09,NA,NA
2018-01-17,NA,NA
2018-01-25,NA,NA
2018-02-02,NA,NA
2018-02-10,NA,NA
2018-02-18,NA,NA
2018-02-26,NA,NA
2018-03-06,NA,NA
2018-03-14,NA,NA
2018-03-22,NA,NA
2018-03-30,NA,NA
2018-04-07,NA,NA
2018-04-15,NA,NA
2018-04-23,NA,NA
2018-05-01,0.0013,0.000424
2018-05-09,0.00745,0.000778
2018-05-17,0.0045,0.001131
2018-05-25,0.00665,0.003465
2018-06-02,0.01825,0.001202
2018-06-10,0.0202,0.007212
2018-06-18,0.03475,0.010819
2018-06-26,0.03195,0.002616
2018-07-04,0.0425,0
2018-07-12,0.0394,0.003536
2018-07-20,0.04565,0.001768
2018-07-28,0.03185,0.000354
2018-08-05,0.02285,7.1e-05
2018-08-13,0.0189,0.005091
2018-08-21,0.01185,0.000495
2018-08-29,0.002,0.00099
2018-09-06,0.0047,0.000424
2018-09-14,0.00455,0.000354
2018-09-22,0.00245,0.000354
2018-09-30,5e-04,NA
2018-10-08,NA,NA
2018-10-16,NA,NA
2018-10-24,NA,NA
2018-11-01,NA,NA
2018-11-09,NA,NA
2018-11-17,NA,NA
2018-11-25,NA,NA
2018-12-03,NA,NA
2018-12-11,NA,NA
2018-12-19,NA,NA
2018-12-27,NA,NA
2019-01-01,NA,NA
2019-01-09,NA,NA
2019-01-17,NA,NA
2019-01-25,NA,NA
2019-02-02,NA,NA
2019-02-10,NA,NA
2019-02-18,NA,NA
2019-02-26,NA,NA
2019-03-06,NA,NA
2019-03-14,NA,NA
2019-03-22,NA,NA
2019-03-30,NA,NA
2019-04-07,NA,NA
2019-04-15,NA,NA
2019-04-23,NA,NA
2019-05-01,NA,NA
2019-05-09,0.00785,0.000495
2019-05-17,0.01955,0.001344
2019-05-25,0.02305,0.001909
2019-06-02,0.02775,0.001909
2019-06-10,0.0214,0.012304
2019-06-18,0.0452,0.000141
2019-06-26,0.045,0.00297
2019-07-04,0.0521,0.000849
2019-07-12,0.05095,0.001202
2019-07-20,0.04645,0.001626
2019-07-28,0.0379,0.002121
2019-08-05,0.0206,0.000141
2019-08-13,0.0179,0.001414
2019-08-21,0.01525,0.000919
2019-08-29,0.0015,NA
2019-09-06,0.00935,0.002051
2019-09-14,0.0027,0.001273
2019-09-22,0.00215,0.000778
2019-09-30,5e-04,0.000141
2019-10-08,NA,NA
2019-10-16,NA,NA
2019-10-24,NA,NA
2019-11-01,NA,NA
2019-11-09,NA,NA
2019-11-17,NA,NA
2019-11-25,NA,NA
2019-12-03,NA,NA
2019-12-11,NA,NA
2019-12-19,NA,NA
2019-12-27,NA,NA
2020-01-01,NA,NA
2020-01-09,NA,NA
2020-01-17,NA,NA
2020-01-25,NA,NA
2020-02-02,NA,NA
2020-02-10,NA,NA
2020-02-18,NA,NA
2020-02-26,NA,NA
2020-03-05,NA,NA
2020-03-13,NA,NA
2020-03-21,NA,NA
2020-03-29,NA,NA
2020-04-06,NA,NA
2020-04-14,NA,NA
2020-04-22,NA,NA
2020-04-30,NA,NA
2020-05-08,0.0042,0.00198
2020-05-16,0.0069,0.000849
2020-05-24,0.0213,0.001414
2020-06-01,0.019,0.006081
2020-06-09,0.0357,0.003111
2020-06-17,0.01735,0.008415
2020-06-25,0.02985,0.002899
2020-07-03,NA,NA
2020-07-11,0.0261,0.010324
2020-07-19,0.019,0.001273
2020-07-27,0.03705,0.001485
2020-08-04,0.028,0.000141
2020-08-12,0.0227,0.000707
2020-08-20,0.0173,0.00297
2020-08-28,0.00685,0.001061
2020-09-05,0.00845,0.001768
2020-09-13,0.00675,0.000354
2020-09-21,0.00205,0.000212
2020-09-29,0.00195,0.000354
2020-10-07,NA,NA
2020-10-15,NA,NA
2020-10-23,NA,NA
2020-10-31,NA,NA
2020-11-08,NA,NA
2020-11-16,NA,NA
2020-11-24,NA,NA
2020-12-02,NA,NA
2020-12-10,NA,NA
2020-12-18,NA,NA
2020-12-26,NA,NA
2021-01-01,NA,NA
2021-01-09,NA,NA
2021-01-17,NA,NA
2021-01-25,NA,NA
2021-02-02,NA,NA
2021-02-10,NA,NA
2021-02-18,NA,NA
2021-02-26,NA,NA
2021-03-06,NA,NA
2021-03-14,NA,NA
2021-03-22,NA,NA
2021-03-30,NA,NA
2021-04-07,NA,NA
2021-04-15,NA,NA
2021-04-23,NA,NA
2021-05-01,0.00095,0.000495
2021-05-09,0.00485,0.001485
2021-05-17,0.01075,0.000778
2021-05-25,0.0051,0.00099
2021-06-02,0.0138,0.00099
2021-06-10,0.04075,0.00502
2021-06-18,0.0473,0.00396
2021-06-26,0.0519,0.007354
2021-07-04,0.04245,0.001626
2021-07-12,0.04605,0.001061
2021-07-20,0.0422,0.000283
2021-07-28,0.0405,0.00099
2021-08-05,0.0208,0.000141
2021-08-13,0.01905,0.001061
2021-08-21,0.0078,0.001273
2021-08-29,0.01335,0.000919
2021-09-06,0.01095,0.000495
2021-09-14,0.004,0.000707
2021-09-22,NA,NA
2021-09-30,NA,NA
2021-10-08,NA,NA
2021-10-16,NA,NA
2021-10-24,NA,NA
2021-11-01,NA,NA
2021-11-09,NA,NA
2021-11-17,NA,NA
2021-11-25,NA,NA
2021-12-03,NA,NA
2021-12-11,NA,NA
2021-12-19,NA,NA
2021-12-27,NA,NA
