dates,open_shrublands_mean,open_shrublands_sd
2016-06-09,0.020675,0.00708
2016-06-17,0.03675,0.003077
2016-06-25,0.0306,0.003149
2016-07-03,0.034175,0.003165
2016-07-11,0.0318,0.011847
2016-07-19,0.0328,0.003277
2016-07-27,0.0397,0.006131
2016-08-04,0.00955,0.0013
2016-08-12,0.026775,0.001087
2016-08-20,0.020525,0.002223
2016-08-28,0.0101,0.002257
2016-09-05,0.006425,0.000377
2016-09-13,0.0026,0.000469
2016-09-21,0.004375,0.00105
2016-09-29,0.000725,0.00045
2016-10-07,NA,NA
2016-10-15,NA,NA
2016-10-23,NA,NA
2016-10-31,NA,NA
2016-11-08,NA,NA
2016-11-16,NA,NA
2016-11-24,NA,NA
2016-12-02,NA,NA
2016-12-10,NA,NA
2016-12-18,NA,NA
2016-12-26,NA,NA
2017-01-01,NA,NA
2017-01-09,NA,NA
2017-01-17,NA,NA
2017-01-25,NA,NA
2017-02-02,NA,NA
2017-02-10,NA,NA
2017-02-18,NA,NA
2017-02-26,NA,NA
2017-03-06,NA,NA
2017-03-14,NA,NA
2017-03-22,NA,NA
2017-03-30,NA,NA
2017-04-07,NA,NA
2017-04-15,NA,NA
2017-04-23,NA,NA
2017-05-01,0.001,NA
2017-05-09,0.0049,0.00212
2017-05-17,0.0131,0.001871
2017-05-25,0.015225,0.002885
2017-06-02,0.0198,0.002312
2017-06-10,0.0251,0.00464
2017-06-18,0.0325,0.005222
2017-06-26,0.041125,0.002453
2017-07-04,0.04365,0.002016
2017-07-12,0.033075,0.00341
2017-07-20,0.026,0.004762
2017-07-28,0.035275,0.003337
2017-08-05,0.03485,0.001982
2017-08-13,0.024775,5e-05
2017-08-21,0.01665,0.000714
2017-08-29,0.01115,0.000645
2017-09-06,0.00675,0.000943
2017-09-14,0.00425,7e-04
2017-09-22,0.000775,5e-05
2017-09-30,0.001225,0.000263
2017-10-08,NA,NA
2017-10-16,NA,NA
2017-10-24,NA,NA
2017-11-01,NA,NA
2017-11-09,NA,NA
2017-11-17,NA,NA
2017-11-25,NA,NA
2017-12-03,NA,NA
2017-12-11,NA,NA
2017-12-19,NA,NA
2017-12-27,NA,NA
2018-01-01,NA,NA
2018-01-09,NA,NA
2018-01-17,NA,NA
2018-01-25,NA,NA
2018-02-02,NA,NA
2018-02-10,NA,NA
2018-02-18,NA,NA
2018-02-26,NA,NA
2018-03-06,NA,NA
2018-03-14,NA,NA
2018-03-22,NA,NA
2018-03-30,NA,NA
2018-04-07,NA,NA
2018-04-15,NA,NA
2018-04-23,NA,NA
2018-05-01,0.0019,0.000775
2018-05-09,0.00745,0.000635
2018-05-17,0.005475,0.001307
2018-05-25,0.00805,0.002686
2018-06-02,0.019775,0.001893
2018-06-10,0.02025,0.005663
2018-06-18,0.036375,0.006522
2018-06-26,0.0279,0.005192
2018-07-04,0.042875,0.003416
2018-07-12,0.0353,0.006946
2018-07-20,0.043525,0.002663
2018-07-28,0.03085,0.001555
2018-08-05,0.020525,0.002685
2018-08-13,0.0178,0.003326
2018-08-21,0.0114,0.000744
2018-08-29,0.0029,0.001186
2018-09-06,0.00515,0.000705
2018-09-14,0.004925,0.00058
2018-09-22,0.00235,0.000238
2018-09-30,6e-04,1e-04
2018-10-08,NA,NA
2018-10-16,NA,NA
2018-10-24,NA,NA
2018-11-01,NA,NA
2018-11-09,NA,NA
2018-11-17,NA,NA
2018-11-25,NA,NA
2018-12-03,NA,NA
2018-12-11,NA,NA
2018-12-19,NA,NA
2018-12-27,NA,NA
2019-01-01,NA,NA
2019-01-09,NA,NA
2019-01-17,NA,NA
2019-01-25,NA,NA
2019-02-02,NA,NA
2019-02-10,NA,NA
2019-02-18,NA,NA
2019-02-26,NA,NA
2019-03-06,NA,NA
2019-03-14,NA,NA
2019-03-22,NA,NA
2019-03-30,NA,NA
2019-04-07,NA,NA
2019-04-15,NA,NA
2019-04-23,NA,NA
2019-05-01,4e-04,0
2019-05-09,0.009125,0.001502
2019-05-17,0.020875,0.002156
2019-05-25,0.022375,0.001352
2019-06-02,0.028675,0.001778
2019-06-10,0.027425,0.009957
2019-06-18,0.04525,1e-04
2019-06-26,0.044075,0.00327
2019-07-04,0.0516,0.002486
2019-07-12,0.049275,0.002575
2019-07-20,0.04705,0.002676
2019-07-28,0.036175,0.003186
2019-08-05,0.0212,0.00127
2019-08-13,0.015125,0.006568
2019-08-21,0.014175,0.001537
2019-08-29,0.0015,0
2019-09-06,0.0104,0.001734
2019-09-14,0.00245,0.000827
2019-09-22,0.00265,0.000819
2019-09-30,0.00055,1e-04
2019-10-08,NA,NA
2019-10-16,NA,NA
2019-10-24,NA,NA
2019-11-01,NA,NA
2019-11-09,NA,NA
2019-11-17,NA,NA
2019-11-25,NA,NA
2019-12-03,NA,NA
2019-12-11,NA,NA
2019-12-19,NA,NA
2019-12-27,NA,NA
2020-01-01,NA,NA
2020-01-09,NA,NA
2020-01-17,NA,NA
2020-01-25,NA,NA
2020-02-02,NA,NA
2020-02-10,NA,NA
2020-02-18,NA,NA
2020-02-26,NA,NA
2020-03-05,NA,NA
2020-03-13,NA,NA
2020-03-21,NA,NA
2020-03-29,NA,NA
2020-04-06,NA,NA
2020-04-14,NA,NA
2020-04-22,NA,NA
2020-04-30,NA,NA
2020-05-08,0.005425,0.001841
2020-05-16,0.007325,0.000723
2020-05-24,0.021975,0.001164
2020-06-01,0.0224,0.005491
2020-06-09,0.035675,0.001819
2020-06-17,0.014125,0.007098
2020-06-25,0.0268,0.006422
2020-07-03,0.0067,NA
2020-07-11,0.02275,0.007659
2020-07-19,0.017425,0.002141
2020-07-27,0.037125,0.001081
2020-08-04,0.0281,0.00172
2020-08-12,0.022825,0.000888
2020-08-20,0.018775,0.00319
2020-08-28,0.008075,0.002074
2020-09-05,0.0092,0.001547
2020-09-13,0.007225,0.000818
2020-09-21,0.002525,0.000562
2020-09-29,0.002075,0.000479
2020-10-07,NA,NA
2020-10-15,NA,NA
2020-10-23,NA,NA
2020-10-31,NA,NA
2020-11-08,NA,NA
2020-11-16,NA,NA
2020-11-24,NA,NA
2020-12-02,NA,NA
2020-12-10,NA,NA
2020-12-18,NA,NA
2020-12-26,NA,NA
2021-01-01,NA,NA
2021-01-09,NA,NA
2021-01-17,NA,NA
2021-01-25,NA,NA
2021-02-02,NA,NA
2021-02-10,NA,NA
2021-02-18,NA,NA
2021-02-26,NA,NA
2021-03-06,NA,NA
2021-03-14,NA,NA
2021-03-22,NA,NA
2021-03-30,NA,NA
2021-04-07,NA,NA
2021-04-15,NA,NA
2021-04-23,4e-04,0.000141
2021-05-01,0.001475,0.000881
2021-05-09,0.006125,0.001797
2021-05-17,0.011075,0.000714
2021-05-25,0.00555,0.00079
2021-06-02,0.014825,0.001664
2021-06-10,0.040525,0.002939
2021-06-18,0.048275,0.002777
2021-06-26,0.05375,0.005721
2021-07-04,0.041575,0.001464
2021-07-12,0.04705,0.002812
2021-07-20,0.042275,0.001279
2021-07-28,0.040475,0.002317
2021-08-05,0.020575,0.000525
2021-08-13,0.0192,0.00149
2021-08-21,0.008,0.000872
2021-08-29,0.013875,0.001269
2021-09-06,0.01195,0.001303
2021-09-14,0.004575,0.00083
2021-09-22,NA,NA
2021-09-30,NA,NA
2021-10-08,NA,NA
2021-10-16,NA,NA
2021-10-24,NA,NA
2021-11-01,NA,NA
2021-11-09,NA,NA
2021-11-17,NA,NA
2021-11-25,NA,NA
2021-12-03,NA,NA
2021-12-11,NA,NA
2021-12-19,NA,NA
2021-12-27,NA,NA
