dates,open_shrublands_mean,open_shrublands_sd
2016-06-09,0.021975,0.007728
2016-06-17,0.04025,0.003646
2016-06-25,0.0339,0.003694
2016-07-03,0.039225,0.003909
2016-07-11,0.035725,0.013825
2016-07-19,0.035725,0.00365
2016-07-27,0.044475,0.007248
2016-08-04,0.010875,0.00145
2016-08-12,0.0305,0.001405
2016-08-20,0.022725,0.002613
2016-08-28,0.0111,0.002479
2016-09-05,0.007225,0.000562
2016-09-13,0.003025,0.000608
2016-09-21,0.004875,0.001297
2016-09-29,0.000775,0.00055
2016-10-07,NA,NA
2016-10-15,NA,NA
2016-10-23,NA,NA
2016-10-31,NA,NA
2016-11-08,NA,NA
2016-11-16,NA,NA
2016-11-24,NA,NA
2016-12-02,NA,NA
2016-12-10,NA,NA
2016-12-18,NA,NA
2016-12-26,NA,NA
2017-01-01,NA,NA
2017-01-09,NA,NA
2017-01-17,NA,NA
2017-01-25,NA,NA
2017-02-02,NA,NA
2017-02-10,NA,NA
2017-02-18,NA,NA
2017-02-26,NA,NA
2017-03-06,NA,NA
2017-03-14,NA,NA
2017-03-22,NA,NA
2017-03-30,NA,NA
2017-04-07,NA,NA
2017-04-15,NA,NA
2017-04-23,NA,NA
2017-05-01,0.001,NA
2017-05-09,0.005325,0.002518
2017-05-17,0.01415,0.001987
2017-05-25,0.016225,0.00311
2017-06-02,0.02115,0.002549
2017-06-10,0.026825,0.005096
2017-06-18,0.035525,0.005771
2017-06-26,0.0449,0.002806
2017-07-04,0.049325,0.00229
2017-07-12,0.0373,0.003915
2017-07-20,0.029975,0.005715
2017-07-28,0.039325,0.004084
2017-08-05,0.03995,0.002598
2017-08-13,0.027125,0.000299
2017-08-21,0.0184,0.000757
2017-08-29,0.0124,0.000876
2017-09-06,0.007675,0.001228
2017-09-14,0.004725,0.00075
2017-09-22,0.000825,5e-05
2017-09-30,0.00145,0.000351
2017-10-08,NA,NA
2017-10-16,NA,NA
2017-10-24,NA,NA
2017-11-01,NA,NA
2017-11-09,NA,NA
2017-11-17,NA,NA
2017-11-25,NA,NA
2017-12-03,NA,NA
2017-12-11,NA,NA
2017-12-19,NA,NA
2017-12-27,NA,NA
2018-01-01,NA,NA
2018-01-09,NA,NA
2018-01-17,NA,NA
2018-01-25,NA,NA
2018-02-02,NA,NA
2018-02-10,NA,NA
2018-02-18,NA,NA
2018-02-26,NA,NA
2018-03-06,NA,NA
2018-03-14,NA,NA
2018-03-22,NA,NA
2018-03-30,NA,NA
2018-04-07,NA,NA
2018-04-15,NA,NA
2018-04-23,NA,NA
2018-05-01,0.00205,0.000881
2018-05-09,0.00815,0.000751
2018-05-17,0.006025,0.00132
2018-05-25,0.0087,0.002917
2018-06-02,0.021375,0.002063
2018-06-10,0.021825,0.006268
